,bed_type,calendar_last_scraped,cancellation_policy,city,country,country_code,experiences_offered,has_availability,host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_response_time,instant_bookable,is_location_exact,jurisdiction_names,last_scraped,market,neighbourhood_group_cleansed,property_type,require_guest_phone_verification,require_guest_profile_picture,requires_license,room_type,smart_location,state,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,price,weekly_price,security_deposit,cleaning_fee,extra_people
41,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,t,t,f,Entire home/apt,"Seattle, WA",WA,2715623,20160104002432,8242272,1.0,1.0,47.63199585097701,-122.3716576650487,3,1.0,1.0,2.0,2,3,365,0,13,43,310,9,91.0,9.0,10.0,9.0,9.0,10.0,10.0,1,0.46,148.0,567.5573663624511,254.48483177054607,100.0,20.0
43,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,7308567,20160104002432,17597607,1.0,1.0,47.63365004372054,-122.36044969320193,3,1.5,1.0,2.0,1,2,1125,8,34,64,339,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.35,150.0,567.5573663624511,254.48483177054607,50.0,0.0
44,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Private room,"Seattle, WA",WA,6575380,20160104002432,34392395,1.0,1.0,47.63430017546052,-122.35705980444612,5,1.0,1.0,1.0,1,1,1125,0,0,11,285,9,100.0,10.0,10.0,9.0,9.0,10.0,10.0,1,1.99,150.0,540.0,254.48483177054607,61.71090387374462,0.0
45,Futon,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6004058,20160104002432,9031463,1.0,1.0,47.628343869748115,-122.36640542137962,2,1.0,0.0,1.0,1,1,1125,28,58,87,87,20,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1,2.29,100.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
46,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Bungalow,f,f,f,Entire home/apt,"Seattle, WA",WA,9550869,20160104002432,12867960,1.0,1.0,47.63539394059413,-122.36899114110727,10,3.0,4.0,4.0,1,1,1125,30,60,90,354,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,349.0,567.5573663624511,254.48483177054607,200.0,0.0
47,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Bungalow,f,f,f,Entire home/apt,"Seattle, WA",WA,8515408,20160104002432,3502513,1.0,1.0,47.63803515893716,-122.36091010563622,2,1.0,0.0,1.0,1,2,1125,30,60,89,89,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.06,110.0,700.0,254.48483177054607,50.0,0.0
49,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,1112092,20160104002432,5856339,1.0,1.0,47.63530805145543,-122.366531709012,4,1.0,1.0,3.0,2,3,1125,30,60,89,89,26,95.0,10.0,10.0,9.0,10.0,10.0,9.0,1,0.8,130.0,567.5573663624511,140.0,75.0,25.0
50,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,House,f,f,f,Entire home/apt,"Seattle, WA",WA,7772661,20160104002432,40885963,1.0,1.0,47.637374884138524,-122.36941092468905,2,1.0,0.0,1.0,2,1,1125,25,51,81,142,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.0,99.0,567.5573663624511,254.48483177054607,50.0,50.0
51,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Queen Anne,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,9254900,20160104002432,27128936,1.0,1.0,47.638297567073266,-122.37377871072084,2,1.0,0.0,1.0,1,1,1125,0,15,29,29,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,100.0,567.5573663624511,254.48483177054607,40.0,0.0
54,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Queen Anne,Townhouse,f,f,f,Entire home/apt,"Seattle, WA",WA,9368342,20160104002432,1039322,1.0,1.0,47.63788372174487,-122.36737109377769,2,1.5,1.0,1.0,2,4,1125,0,0,0,212,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,150.0,567.5573663624511,500.0,50.0,30.0
