,bed_type,calendar_last_scraped,cancellation_policy,city,country,country_code,experiences_offered,has_availability,host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_response_time,instant_bookable,is_location_exact,jurisdiction_names,last_scraped,market,neighbourhood_group_cleansed,property_type,require_guest_phone_verification,require_guest_profile_picture,requires_license,room_type,smart_location,state,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,price,weekly_price,security_deposit,cleaning_fee,extra_people
2771,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Private room,"Seattle, WA",WA,5067177,20160104002432,7354306,18.0,18.0,47.623024856900244,-122.3242941727272,1,1.0,1.0,1.0,1,2,30,23,53,83,357,14,94.0,10.0,10.0,10.0,10.0,10.0,10.0,18,2.96,47.0,357.0,254.48483177054607,61.71090387374462,0.0
2772,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6689259,20160104002432,24916371,3.0,3.0,47.61602024189273,-122.31404921274489,4,1.0,2.0,2.0,4,1,1125,17,47,70,305,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,3,2.078918834221248,100.0,567.5573663624511,200.0,45.0,50.0
2773,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,4231670,20160104002432,9499722,1.0,1.0,47.61786458893045,-122.32203006471323,3,1.0,2.0,1.0,1,3,1125,25,55,85,360,4,80.0,9.0,9.0,9.0,10.0,10.0,9.0,1,0.28,100.0,600.0,100.0,61.71090387374462,0.0
2774,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6951415,20160104002432,1363490,2.0,2.0,47.62161272592611,-122.32061140917169,4,1.0,0.0,2.0,2,2,1125,0,9,9,57,16,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,2.54,95.0,567.5573663624511,500.0,50.0,25.0
2776,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,8934054,20160104002432,41379323,7.0,7.0,47.62697761832084,-122.32429797480759,3,1.0,1.0,2.0,2,1,1125,22,52,82,357,4,60.0,6.0,5.0,6.0,5.0,8.0,6.0,2,1.9,75.0,495.0,95.0,40.0,25.0
2777,Futon,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,a few days or more,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,7601766,20160104002432,39863754,1.0,1.0,47.615931406057655,-122.32529675461357,3,1.0,1.0,1.0,1,1,1125,30,60,90,365,5,73.0,9.0,10.0,10.0,9.0,9.0,9.0,1,0.94,75.0,567.5573663624511,254.48483177054607,5.0,15.0
2778,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6954984,20160104002432,5260336,1.0,1.0,47.624242317672994,-122.3209224872884,3,1.0,1.0,2.0,2,1,1125,10,22,30,128,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.57,96.0,700.0,254.48483177054607,60.0,10.0
2779,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Condominium,f,f,f,Entire home/apt,"Seattle, WA",WA,8339428,20160104002432,31669424,4.0,4.0,47.616259721047676,-122.3255427664448,2,1.0,1.0,1.0,1,1,1125,0,0,0,0,14,99.0,10.0,10.0,10.0,10.0,10.0,9.0,4,5.19,90.0,567.5573663624511,254.48483177054607,60.0,0.0
2780,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,5160893,20160104002432,26690621,1.0,1.0,47.621477725258295,-122.31993078200205,2,1.0,1.0,1.0,1,1,3,21,51,81,356,105,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,9.38,80.0,600.0,254.48483177054607,61.71090387374462,0.0
2781,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Entire home/apt,"Seattle, WA",WA,7616507,20160104002432,900531,2.0,2.0,47.625008767378645,-122.32597613377762,6,1.0,2.0,3.0,1,1,30,22,52,54,187,17,96.0,10.0,9.0,10.0,10.0,10.0,9.0,2,3.38,200.0,567.5573663624511,254.48483177054607,25.0,0.0
2783,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,9494415,20160104002432,42537846,17.0,17.0,47.625511890920905,-122.31709174496096,2,1.0,0.0,1.0,1,1,1125,6,6,23,270,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,15,7.0,69.0,400.0,95.0,25.0,0.0
2784,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8241019,20160104002432,3246928,2.0,2.0,47.6232210054084,-122.31511476129879,2,1.0,0.0,1.0,1,2,1125,0,0,0,0,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,2,2.078918834221248,85.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
2785,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Private room,"Seattle, WA",WA,4652918,20160104002432,1243056,37.0,37.0,47.62572233084138,-122.32090111669413,1,1.0,1.0,1.0,1,4,1125,0,0,0,247,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,37,0.14,69.0,389.0,350.0,28.0,18.0
2787,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,5930806,20160104002432,30793403,1.0,1.0,47.62479371030663,-122.32177211499076,2,1.5,1.0,1.0,1,1,1125,27,57,81,356,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,100.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
2790,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Condominium,f,f,f,Entire home/apt,"Seattle, WA",WA,5537446,20160104002432,8688905,1.0,1.0,47.61491807893655,-122.32411175753724,3,1.0,1.0,1.0,1,1,1125,8,8,12,283,14,81.0,9.0,8.0,8.0,9.0,9.0,9.0,1,1.49,150.0,900.0,254.48483177054607,61.71090387374462,10.0
2791,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,9436832,20160104002432,595610,2.0,2.0,47.62091213435827,-122.31491941075431,2,1.0,0.0,1.0,1,2,13,21,47,74,74,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,7.32,100.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
2792,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Entire home/apt,"Seattle, WA",WA,9133711,20160104002432,5820099,7.0,7.0,47.619097723578136,-122.32140021172444,10,3.0,5.0,5.0,5,1,1125,21,51,81,351,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,7,2.078918834221248,550.0,567.5573663624511,300.0,175.0,20.0
2793,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,10157690,20160104002432,24336313,2.0,2.0,47.61952840790508,-122.3280671978358,2,1.0,1.0,1.0,1,2,1125,20,47,76,76,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,2,2.078918834221248,69.0,567.5573663624511,254.48483177054607,40.0,0.0
2794,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,1122236,20160104002432,1121532,8.0,8.0,47.623303792564116,-122.32595584559911,4,1.0,1.0,1.0,1,2,1125,29,59,89,364,45,95.0,9.0,10.0,10.0,10.0,10.0,9.0,7,1.39,119.0,890.0,200.0,88.0,0.0
2796,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,7773668,20160104002432,20983122,1.0,1.0,47.61456900610705,-122.32723580010256,2,1.0,1.0,1.0,1,1,14,23,50,66,341,18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.78,69.0,500.0,150.0,35.0,0.0
2797,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,t,t,f,Private room,"Seattle, WA",WA,458197,20160104002432,50893,10.0,10.0,47.62491523967346,-122.31972929514927,2,2.0,1.0,2.0,1,2,14,0,0,0,2,7,83.0,9.0,9.0,10.0,9.0,9.0,9.0,9,0.16,48.0,255.0,250.0,39.0,10.0
2798,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,t,t,f,Private room,"Seattle, WA",WA,458193,20160104002432,50893,10.0,10.0,47.62476205344759,-122.32025970356639,4,2.0,1.0,2.0,1,2,14,0,0,0,2,6,96.0,9.0,9.0,10.0,10.0,10.0,8.0,9,0.14,69.0,363.0,250.0,42.0,28.0
2799,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,t,t,f,Private room,"Seattle, WA",WA,458186,20160104002432,50893,10.0,10.0,47.623409952675196,-122.31919052384431,2,2.0,1.0,1.0,2,2,14,0,0,0,2,14,95.0,9.0,9.0,9.0,10.0,10.0,10.0,9,0.32,61.0,320.0,250.0,39.0,15.0
2800,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,t,t,f,Private room,"Seattle, WA",WA,458183,20160104002432,50893,10.0,10.0,47.62477068451541,-122.31914268237028,2,2.0,1.0,1.0,1,2,21,0,0,0,2,9,91.0,8.0,10.0,9.0,10.0,10.0,9.0,9,0.26,52.0,275.0,250.0,39.0,9.0
2801,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,t,f,Private room,"Seattle, WA",WA,941467,20160104002432,5090190,2.0,2.0,47.63070461405453,-122.3211983180803,2,1.0,1.0,1.0,1,2,365,10,10,10,29,109,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2,3.33,95.0,567.5573663624511,254.48483177054607,20.0,10.0
2802,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,1039766,20160104002432,5724883,1.0,1.0,47.621998911538704,-122.32228238802095,1,1.0,1.0,1.0,1,1,21,22,47,77,352,147,89.0,9.0,8.0,10.0,10.0,10.0,9.0,1,4.8,60.0,575.0,100.0,25.0,20.0
2803,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Townhouse,f,f,f,Entire home/apt,"Seattle, WA",WA,5078876,20160104002432,13309620,2.0,2.0,47.621740482578275,-122.31783945249023,5,2.5,2.0,2.0,4,2,30,18,28,28,28,13,98.0,10.0,10.0,10.0,10.0,10.0,9.0,2,3.94,225.0,567.5573663624511,254.48483177054607,100.0,25.0
2804,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,5242712,20160104002432,9455871,2.0,2.0,47.61419724651564,-122.32278851024674,2,1.0,0.0,1.0,2,2,1125,30,60,90,251,30,87.0,9.0,9.0,9.0,9.0,9.0,9.0,2,2.85,60.0,567.5573663624511,200.0,71.0,55.0
2805,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,t,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,1539476,20160104002432,5425175,1.0,1.0,47.618943781711494,-122.32657315625907,1,1.0,1.0,1.0,1,4,1125,30,60,90,365,47,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.65,75.0,500.0,200.0,61.71090387374462,0.0
2807,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8150395,20160104002432,374596,1.0,1.0,47.618647968286155,-122.31531185006165,3,1.0,1.0,1.0,2,2,1125,17,26,55,55,6,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.62,93.0,553.0,500.0,60.0,0.0
2808,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Townhouse,f,f,f,Entire home/apt,"Seattle, WA",WA,4824435,20160104002432,24693226,1.0,1.0,47.639487959227885,-122.32278303732865,4,1.5,2.0,2.0,1,3,1125,14,14,14,14,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,165.0,567.5573663624511,254.48483177054607,50.0,15.0
2809,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,4250639,20160104002432,430709,36.0,36.0,47.61387611349882,-122.32927710054831,4,1.0,2.0,3.0,1,3,1125,20,46,72,96,4,95.0,10.0,10.0,10.0,10.0,10.0,10.0,31,0.34,139.0,567.5573663624511,254.48483177054607,194.0,0.0
2810,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,3652612,20160104002432,3839959,1.0,1.0,47.618478658900145,-122.32452175311212,3,1.0,1.0,1.0,1,1,1125,30,60,90,365,23,93.0,10.0,9.0,10.0,10.0,10.0,10.0,1,1.39,150.0,567.5573663624511,254.48483177054607,40.0,0.0
2811,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,t,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Entire home/apt,"Seattle, WA",WA,3570691,20160104002432,30604,1.0,1.0,47.617638860702755,-122.31467191118963,8,2.5,2.0,3.0,2,2,14,21,51,81,344,30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.83,350.0,567.5573663624511,254.48483177054607,100.0,50.0
2812,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,5495802,20160104002432,20361123,2.0,2.0,47.61802136983288,-122.31710027947058,3,1.5,1.0,1.0,2,1,1125,20,50,80,355,19,94.0,10.0,10.0,10.0,10.0,10.0,9.0,2,2.38,125.0,567.5573663624511,254.48483177054607,45.0,50.0
2813,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,8106263,20160104002432,42537846,17.0,17.0,47.62528127801642,-122.31768608498554,2,1.0,1.0,1.0,1,1,1125,3,31,61,336,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,15,2.078918834221248,69.0,400.0,95.0,25.0,0.0
2814,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,t,t,f,Entire home/apt,"Seattle, WA",WA,1204142,20160104002432,3896863,2.0,2.0,47.61856014026699,-122.32343883530544,2,1.0,1.0,1.0,2,2,200,5,25,55,288,96,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1,3.04,138.0,800.0,100.0,50.0,0.0
2816,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,t,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Private room,"Seattle, WA",WA,6118291,20160104002432,8977034,3.0,3.0,47.627023261141204,-122.32346440467845,2,2.0,1.0,1.0,2,1,1125,14,44,73,73,46,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,5.54,95.0,450.0,254.48483177054607,20.0,20.0
2817,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,5593981,20160104002432,16685525,1.0,1.0,47.624305732445954,-122.32826630804962,3,1.0,1.0,1.0,2,3,7,0,0,9,65,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,145.0,567.5573663624511,254.48483177054607,61.71090387374462,50.0
2818,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Shared room,"Seattle, WA",WA,9970805,20160104002432,807116,3.0,3.0,47.62033253793437,-122.31620374219985,6,1.0,1.0,3.0,1,1,1125,30,60,90,365,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,1.0,39.0,567.5573663624511,254.48483177054607,8.0,20.0
2819,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8673979,20160104002432,30667344,1.0,1.0,47.61865424428635,-122.31420909882591,2,1.0,0.0,1.0,2,1,180,30,60,90,365,4,90.0,8.0,10.0,10.0,10.0,10.0,8.0,1,1.33,115.0,567.5573663624511,100.0,25.0,0.0
2822,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Private room,"Seattle, WA",WA,4848255,20160104002432,24902894,1.0,1.0,47.63372310601172,-122.32234595010327,2,1.0,1.0,1.0,1,1,30,9,21,51,263,19,95.0,10.0,10.0,10.0,10.0,9.0,10.0,1,1.56,55.0,375.0,100.0,20.0,10.0
2823,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Private room,"Seattle, WA",WA,2194715,20160104002432,11194155,1.0,1.0,47.62076458239214,-122.32578846058836,2,1.5,1.0,1.0,0,1,4,0,5,35,310,50,94.0,10.0,9.0,10.0,10.0,10.0,9.0,1,2.14,82.0,567.5573663624511,254.48483177054607,8.0,0.0
2824,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,t,t,f,Entire home/apt,"Seattle, WA",WA,13068,20160104002432,50893,10.0,10.0,47.61854651283646,-122.32631806552756,10,2.0,3.0,5.0,8,3,365,26,56,86,344,26,93.0,9.0,9.0,10.0,9.0,10.0,9.0,9,0.67,360.0,567.5573663624511,254.48483177054607,300.0,35.0
2825,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Private room,"Seattle, WA",WA,9137335,20160104002432,5820099,7.0,7.0,47.61868194653507,-122.32136314260772,2,1.0,1.0,1.0,1,1,1125,25,55,85,356,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,7,2.078918834221248,85.0,567.5573663624511,254.48483177054607,30.0,10.0
2826,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6659301,20160104002432,34370759,1.0,1.0,47.62359783232851,-122.3176817430903,2,1.0,2.0,1.0,1,2,1125,30,60,89,89,7,93.0,9.0,9.0,10.0,10.0,10.0,9.0,1,1.04,150.0,900.0,254.48483177054607,61.71090387374462,0.0
2827,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within a few hours,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,5479566,20160104002432,10397429,1.0,1.0,47.62070303294121,-122.3188636083557,2,1.0,0.0,1.0,1,1,1125,25,55,85,360,1,80.0,2.0,6.0,8.0,8.0,10.0,10.0,1,0.68,68.0,600.0,200.0,25.0,0.0
2829,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,7363701,20160104002432,19033543,1.0,1.0,47.62812597038292,-122.32723989774719,3,1.0,1.0,2.0,2,2,1125,4,34,64,339,11,90.0,9.0,9.0,10.0,10.0,9.0,9.0,1,2.01,149.0,940.0,200.0,30.0,20.0
2830,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,House,f,f,f,Shared room,"Seattle, WA",WA,7984738,20160104002432,1243056,37.0,37.0,47.62360402942078,-122.3194374442917,1,1.0,1.0,1.0,1,1,1125,30,60,90,365,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,37,2.078918834221248,62.0,325.0,350.0,35.0,0.0
2831,Real Bed,2016-01-04,strict,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,3930681,20160104002432,7953876,1.0,1.0,47.62301318621346,-122.32274204966193,3,1.0,1.0,1.0,2,1,65,0,0,0,0,52,93.0,10.0,9.0,10.0,10.0,10.0,9.0,1,3.26,111.0,567.5573663624511,254.48483177054607,61.71090387374462,35.0
2833,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,8755762,20160104002432,45917623,1.0,1.0,47.6155126342199,-122.32264937400612,4,1.0,1.0,2.0,1,1,1125,9,28,58,330,15,92.0,9.0,8.0,10.0,10.0,10.0,9.0,1,9.0,96.0,567.5573663624511,250.0,10.0,0.0
2836,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,9509279,20160104002432,49275349,1.0,1.0,47.615061689782955,-122.32274003117756,2,1.0,1.0,1.0,1,1,3,27,57,87,362,4,80.0,10.0,6.0,10.0,10.0,10.0,9.0,1,2.93,100.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
2837,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within a day,f,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,6822322,20160104002432,26394059,1.0,1.0,47.61587740300796,-122.3142967165866,4,1.0,1.0,2.0,3,2,1125,0,0,0,0,13,87.0,10.0,9.0,9.0,10.0,10.0,9.0,1,2.13,105.0,567.5573663624511,100.0,25.0,25.0
2840,Real Bed,2016-01-04,flexible,Seattle,United States,US,none,t,100%,t,f,f,within a few hours,t,t,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,10157880,20160104002432,20655766,2.0,2.0,47.62525475595666,-122.32608429992621,2,1.0,1.0,1.0,1,2,1125,11,37,66,66,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221248,82.0,500.0,500.0,50.0,0.0
2842,Real Bed,2016-01-04,moderate,Seattle,United States,US,none,t,100%,t,t,f,within an hour,f,f,WASHINGTON,2016-01-04,Seattle,Capitol Hill,Apartment,f,f,f,Entire home/apt,"Seattle, WA",WA,5946151,20160104002432,30868481,1.0,1.0,47.62235362222631,-122.32201593187227,2,1.0,0.0,1.0,2,1,7,30,60,90,365,15,87.0,9.0,9.0,9.0,10.0,10.0,9.0,1,1.73,125.0,567.5573663624511,254.48483177054607,61.71090387374462,0.0
